primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
"No, not in either",NA,NA,Nevada,Donald Trump,1963,"$70,000 - $79,999",Barack Obama,53,70000
In the Republican primary,NA,John Kasich,Pennsylvania,Hillary Clinton,1956,"$150,000 or more",Mitt Romney,60,150000
In the Democratic primary,Bernie Sanders,NA,North Carolina,Hillary Clinton,1942,"$10,000 - $19,999",Barack Obama,74,10000
In the Republican primary,NA,Ted Cruz,Illinois,Donald Trump,1948,"$40,000 - $49,999",Mitt Romney,68,40000
In the Democratic primary,Hillary Clinton,NA,South Carolina,Hillary Clinton,1945,"$40,000 - $49,999",Barack Obama,71,40000
In the Democratic primary,Bernie Sanders,NA,Arizona,Hillary Clinton,1953,"$50,000 - $59,999",Barack Obama,63,50000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1947,"$70,000 - $79,999",Barack Obama,69,70000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1954,Prefer not to say,Barack Obama,62,NA
In the Democratic primary,Bernie Sanders,NA,Illinois,Hillary Clinton,1946,"$30,000 - $39,999",Barack Obama,70,30000
In the Democratic primary,Someone else,NA,Kentucky,Donald Trump,1969,Prefer not to say,Mitt Romney,47,NA
In the Republican primary,NA,Ted Cruz,Georgia,Donald Trump,1958,"$40,000 - $49,999",Mitt Romney,58,40000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Donald Trump,1950,"$30,000 - $39,999",Mitt Romney,66,30000
In the Democratic primary,Bernie Sanders,NA,New Mexico,NA,1957,Prefer not to say,Other candidate,59,NA
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1963,"$20,000 - $29,999",Barack Obama,53,20000
In the Democratic primary,Bernie Sanders,NA,California,Gary Johnson,1983,"$50,000 - $59,999",Mitt Romney,33,50000
"No, not in either",NA,NA,New Jersey,Donald Trump,1968,Prefer not to say,Mitt Romney,48,NA
"No, not in either",NA,NA,Washington,Donald Trump,1986,"$40,000 - $49,999",Barack Obama,30,40000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1962,"$150,000 or more",Mitt Romney,54,150000
In the Democratic primary,Bernie Sanders,NA,New Hampshire,Hillary Clinton,1954,"$40,000 - $49,999",Barack Obama,62,40000
In the Republican primary,NA,Ted Cruz,Texas,Did not vote for President,1959,"$20,000 - $29,999",NA,57,20000
"No, not in either",NA,NA,Arizona,Donald Trump,1950,"$100,000 - $119,999",Mitt Romney,66,100000
"No, not in either",NA,NA,Illinois,Hillary Clinton,1942,"$30,000 - $39,999",Barack Obama,74,30000
In the Republican primary,NA,Someone else,California,Donald Trump,1936,Prefer not to say,Mitt Romney,80,NA
In the Democratic primary,Bernie Sanders,NA,New Jersey,Hillary Clinton,1954,Prefer not to say,Barack Obama,62,NA
"No, not in either",NA,NA,Washington,Gary Johnson,1948,"$20,000 - $29,999",Other candidate,68,20000
In the Republican primary,NA,Donald Trump,California,Other,1968,"$150,000 or more",Mitt Romney,48,150000
In the Democratic primary,Bernie Sanders,NA,Ohio,Jill Stein,1960,"$60,000 - $69,999",Barack Obama,56,60000
In the Republican primary,NA,Ted Cruz,Maryland,Donald Trump,1948,"$40,000 - $49,999",Mitt Romney,68,40000
In the Republican primary,NA,Someone else,Mississippi,Donald Trump,1964,"$100,000 - $119,999",Mitt Romney,52,100000
In the Democratic primary,Bernie Sanders,NA,Arizona,Other,1929,"$10,000 - $19,999",Barack Obama,87,10000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1949,"$80,000 - $99,999",Barack Obama,67,80000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1948,Prefer not to say,Barack Obama,68,NA
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1937,"$80,000 - $99,999",Barack Obama,79,80000
In the Republican primary,NA,Donald Trump,Texas,NA,1932,"$30,000 - $39,999",Mitt Romney,84,30000
"No, not in either",NA,NA,Idaho,Donald Trump,1939,"$30,000 - $39,999",Mitt Romney,77,30000
In the Democratic primary,Bernie Sanders,NA,Washington,Jill Stein,1960,"$40,000 - $49,999",Barack Obama,56,40000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1951,"$150,000 or more",Mitt Romney,65,150000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1961,"$80,000 - $99,999",Barack Obama,55,80000
In the Republican primary,NA,Someone else,Oklahoma,Donald Trump,1957,"$20,000 - $29,999",Mitt Romney,59,20000
"No, not in either",NA,NA,Michigan,Donald Trump,1954,Prefer not to say,Mitt Romney,62,NA
"Not sure, don't recall",NA,NA,Texas,Hillary Clinton,1971,"$50,000 - $59,999",Barack Obama,45,50000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1936,"$70,000 - $79,999",Barack Obama,80,70000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1954,"$150,000 or more",Barack Obama,62,150000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1935,"$10,000 - $19,999",Barack Obama,81,10000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1970,"$100,000 - $119,999",Barack Obama,46,100000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1964,"$80,000 - $99,999",Barack Obama,52,80000
In the Democratic primary,Bernie Sanders,NA,North Carolina,Hillary Clinton,1954,"$150,000 or more",Barack Obama,62,150000
In the Democratic primary,Bernie Sanders,NA,Michigan,Hillary Clinton,1948,NA,Barack Obama,68,NA
In the Republican primary,NA,John Kasich,Oregon,Donald Trump,1953,"$70,000 - $79,999",Mitt Romney,63,70000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1943,"Less than $10,000",Mitt Romney,73,0
In the Democratic primary,Hillary Clinton,NA,Oklahoma,Hillary Clinton,1960,Prefer not to say,Barack Obama,56,NA
"No, not in either",Hillary Clinton,NA,Georgia,Hillary Clinton,1971,"$70,000 - $79,999",Barack Obama,45,70000
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1964,"$60,000 - $69,999",Barack Obama,52,60000
In the Democratic primary,Bernie Sanders,NA,Oregon,Hillary Clinton,1941,"$60,000 - $69,999",Barack Obama,75,60000
In the Democratic primary,Hillary Clinton,NA,Kansas,Hillary Clinton,1971,"$80,000 - $99,999",Barack Obama,45,80000
In the Democratic primary,Bernie Sanders,NA,Washington,Other,1986,"$60,000 - $69,999",Barack Obama,30,60000
In the Republican primary,NA,John Kasich,Illinois,Donald Trump,1975,"$50,000 - $59,999",Mitt Romney,41,50000
In the Democratic primary,Hillary Clinton,NA,New Jersey,Hillary Clinton,1960,"$120,000 - $149,999",Barack Obama,56,120000
In the Democratic primary,Hillary Clinton,NA,Massachusetts,Hillary Clinton,1962,"$150,000 or more",Barack Obama,54,150000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1946,"$10,000 - $19,999",Mitt Romney,70,10000
In the Republican primary,NA,Ted Cruz,Maryland,Donald Trump,1960,"$50,000 - $59,999",Mitt Romney,56,50000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1937,"$20,000 - $29,999",Barack Obama,79,20000
In the Republican primary,NA,Ted Cruz,New Mexico,Donald Trump,1956,"$100,000 - $119,999",Mitt Romney,60,100000
"No, not in either",NA,NA,Maine,Hillary Clinton,1949,Prefer not to say,Barack Obama,67,NA
In the Republican primary,NA,John Kasich,Missouri,Donald Trump,1944,Prefer not to say,Mitt Romney,72,NA
In the Democratic primary,Bernie Sanders,NA,Michigan,Hillary Clinton,1981,Prefer not to say,Barack Obama,35,NA
In the Republican primary,NA,John Kasich,Georgia,Hillary Clinton,1938,"$120,000 - $149,999",Barack Obama,78,120000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1938,"$40,000 - $49,999",Barack Obama,78,40000
In the Democratic primary,Bernie Sanders,NA,Michigan,Hillary Clinton,1952,"$100,000 - $119,999",Barack Obama,64,100000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1940,"$40,000 - $49,999",Barack Obama,76,40000
In the Democratic primary,Bernie Sanders,NA,Arizona,Jill Stein,1951,"$50,000 - $59,999",Barack Obama,65,50000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1934,"$30,000 - $39,999",Barack Obama,82,30000
In the Democratic primary,Bernie Sanders,NA,New Jersey,Donald Trump,1953,"$150,000 or more",Mitt Romney,63,150000
"No, not in either",NA,NA,California,Hillary Clinton,1973,"$10,000 - $19,999",Barack Obama,43,10000
"No, not in either",NA,NA,New York,Hillary Clinton,1964,"Less than $10,000",Barack Obama,52,0
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1953,"$10,000 - $19,999",Barack Obama,63,10000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1933,"$20,000 - $29,999",Barack Obama,83,20000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1947,Prefer not to say,Barack Obama,69,NA
"Not sure, don't recall",NA,John Kasich,Michigan,Donald Trump,1984,"$40,000 - $49,999",Other candidate,32,40000
"No, not in either",NA,NA,Missouri,Hillary Clinton,1963,"$30,000 - $39,999",Barack Obama,53,30000
In the Democratic primary,Bernie Sanders,NA,Missouri,Hillary Clinton,1939,"$60,000 - $69,999",Barack Obama,77,60000
In the Democratic primary,Hillary Clinton,NA,Pennsylvania,Hillary Clinton,1957,"$150,000 or more",Barack Obama,59,150000
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1963,"$50,000 - $59,999",Mitt Romney,53,50000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1939,"$60,000 - $69,999",NA,77,60000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1956,"$70,000 - $79,999",Barack Obama,60,70000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1968,NA,Barack Obama,48,NA
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1939,"$150,000 or more",Barack Obama,77,150000
In the Democratic primary,Hillary Clinton,NA,Colorado,Hillary Clinton,1984,Prefer not to say,Barack Obama,32,NA
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1936,"$40,000 - $49,999",Barack Obama,80,40000
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1965,"$20,000 - $29,999",Mitt Romney,51,20000
In the Democratic primary,Hillary Clinton,NA,North Carolina,Hillary Clinton,1956,"$80,000 - $99,999",Barack Obama,60,80000
In the Democratic primary,Hillary Clinton,NA,Alabama,Hillary Clinton,1970,"$120,000 - $149,999",Barack Obama,46,120000
In the Republican primary,NA,Marco Rubio,Nevada,Donald Trump,1951,"$150,000 or more",Mitt Romney,65,150000
"No, not in either",NA,NA,North Carolina,Donald Trump,1951,"$30,000 - $39,999",NA,65,30000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1963,"$70,000 - $79,999",Barack Obama,53,70000
"No, not in either",NA,NA,Ohio,Gary Johnson,1967,Prefer not to say,Barack Obama,49,NA
In the Democratic primary,Bernie Sanders,NA,New York,Jill Stein,1965,"$120,000 - $149,999",Other candidate,51,120000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1969,"$80,000 - $99,999",Barack Obama,47,80000
"No, not in either",NA,NA,Oregon,Donald Trump,1946,"$50,000 - $59,999",Mitt Romney,70,50000
In the Republican primary,NA,Donald Trump,Arkansas,Donald Trump,1943,"$80,000 - $99,999",Barack Obama,73,80000
In the Republican primary,NA,Donald Trump,Nevada,Donald Trump,1955,Prefer not to say,Mitt Romney,61,NA
In the Republican primary,NA,John Kasich,New York,Hillary Clinton,1937,Prefer not to say,Barack Obama,79,NA
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1971,"$120,000 - $149,999",Barack Obama,45,120000
In the Republican primary,NA,John Kasich,New York,Donald Trump,1962,"$40,000 - $49,999",Other candidate,54,40000
"No, not in either",NA,NA,Florida,Donald Trump,1962,"$120,000 - $149,999",Mitt Romney,54,120000
In the Democratic primary,Bernie Sanders,NA,Tennessee,Hillary Clinton,1968,"$80,000 - $99,999",Barack Obama,48,80000
In the Republican primary,NA,Marco Rubio,Georgia,Hillary Clinton,1955,"$150,000 or more",Barack Obama,61,150000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1943,"$40,000 - $49,999",Mitt Romney,73,40000
"No, not in either",NA,NA,California,Donald Trump,1961,"$60,000 - $69,999",Mitt Romney,55,60000
In the Republican primary,NA,Donald Trump,Maryland,Donald Trump,1955,"$150,000 or more",Mitt Romney,61,150000
"No, not in either",NA,NA,New Jersey,NA,1983,"$80,000 - $99,999",NA,33,80000
In the Republican primary,NA,John Kasich,New Mexico,Donald Trump,1965,"$120,000 - $149,999",Mitt Romney,51,120000
"No, not in either",NA,NA,North Carolina,NA,1959,"$100,000 - $119,999",Other candidate,57,100000
"No, not in either",NA,NA,Texas,Gary Johnson,1967,"$150,000 or more",Other candidate,49,150000
In the Democratic primary,Bernie Sanders,NA,Tennessee,Hillary Clinton,1947,"$40,000 - $49,999",Barack Obama,69,40000
In the Republican primary,NA,Marco Rubio,Massachusetts,Donald Trump,1985,"$70,000 - $79,999",Mitt Romney,31,70000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Donald Trump,1973,"$10,000 - $19,999",Mitt Romney,43,10000
In the Republican primary,NA,John Kasich,North Dakota,Donald Trump,1950,"$40,000 - $49,999",Mitt Romney,66,40000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1976,"$20,000 - $29,999",Barack Obama,40,20000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1960,"$80,000 - $99,999",Mitt Romney,56,80000
"No, not in either",NA,NA,Washington,Did not vote for President,1977,Prefer not to say,Mitt Romney,39,NA
In the Republican primary,NA,Donald Trump,California,NA,1956,Prefer not to say,NA,60,NA
"No, not in either",NA,NA,Oregon,Gary Johnson,1981,"$100,000 - $119,999",Other candidate,35,100000
In the Democratic primary,Bernie Sanders,NA,Iowa,Hillary Clinton,1983,"$80,000 - $99,999",Barack Obama,33,80000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1983,Prefer not to say,Barack Obama,33,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1964,"$150,000 or more",I did not vote in this race,52,150000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1942,"$100,000 - $119,999",Barack Obama,74,100000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1932,Prefer not to say,Barack Obama,84,NA
In the Republican primary,NA,Marco Rubio,Michigan,Donald Trump,1944,"$40,000 - $49,999",Mitt Romney,72,40000
In the Democratic primary,Bernie Sanders,NA,Nebraska,Hillary Clinton,1964,"$150,000 or more",Barack Obama,52,150000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1958,"$150,000 or more",Barack Obama,58,150000
In the Republican primary,NA,Someone else,Texas,Hillary Clinton,1960,"$80,000 - $99,999",Barack Obama,56,80000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1946,"$100,000 - $119,999",Barack Obama,70,100000
"No, not in either",NA,NA,Arizona,Donald Trump,1975,Prefer not to say,Mitt Romney,41,NA
"No, not in either",NA,NA,South Carolina,Did not vote for President,1960,"$20,000 - $29,999",Other candidate,56,20000
In the Democratic primary,Someone else,NA,California,Donald Trump,1948,Prefer not to say,Barack Obama,68,NA
"No, not in either",NA,NA,California,Donald Trump,1963,"$80,000 - $99,999",Other candidate,53,80000
In the Democratic primary,Bernie Sanders,NA,Oregon,Hillary Clinton,1957,"$60,000 - $69,999",Barack Obama,59,60000
In the Democratic primary,Hillary Clinton,NA,New Jersey,Hillary Clinton,1969,"$50,000 - $59,999",Barack Obama,47,50000
In the Democratic primary,Bernie Sanders,NA,Kentucky,Hillary Clinton,1964,"$100,000 - $119,999",Barack Obama,52,100000
In the Democratic primary,Bernie Sanders,NA,Florida,Hillary Clinton,1966,Prefer not to say,Barack Obama,50,NA
In the Republican primary,NA,Donald Trump,Oregon,Donald Trump,1931,"$10,000 - $19,999",Mitt Romney,85,10000
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1966,Prefer not to say,Mitt Romney,50,NA
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1948,"$40,000 - $49,999",Barack Obama,68,40000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1954,"$40,000 - $49,999",Mitt Romney,62,40000
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1948,"$60,000 - $69,999",NA,68,60000
"No, not in either",NA,NA,Louisiana,Hillary Clinton,1937,"$30,000 - $39,999",Barack Obama,79,30000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1968,"$120,000 - $149,999",Barack Obama,48,120000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1967,"$80,000 - $99,999",Barack Obama,49,80000
"No, not in either",NA,NA,Kansas,Jill Stein,1964,Prefer not to say,Other candidate,52,NA
In the Democratic primary,Bernie Sanders,NA,Michigan,Donald Trump,1959,"$80,000 - $99,999",Mitt Romney,57,80000
In the Democratic primary,Bernie Sanders,NA,Colorado,Hillary Clinton,1947,"$120,000 - $149,999",Barack Obama,69,120000
In the Republican primary,NA,Marco Rubio,Michigan,Donald Trump,1949,"$150,000 or more",Mitt Romney,67,150000
"No, not in either",NA,NA,California,Donald Trump,1975,"$10,000 - $19,999",Barack Obama,41,10000
In the Democratic primary,Someone else,NA,California,Hillary Clinton,1943,"$70,000 - $79,999",Mitt Romney,73,70000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1933,"$30,000 - $39,999",Mitt Romney,83,30000
In the Democratic primary,Bernie Sanders,NA,Idaho,Hillary Clinton,1967,"$30,000 - $39,999",Barack Obama,49,30000
In the Democratic primary,Don't recall,NA,Colorado,Hillary Clinton,1953,"$120,000 - $149,999",Barack Obama,63,120000
"No, not in either",NA,NA,Ohio,Hillary Clinton,1989,"Less than $10,000",NA,27,0
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1946,"$40,000 - $49,999",Mitt Romney,70,40000
In the Democratic primary,Bernie Sanders,NA,Colorado,Hillary Clinton,1973,"$100,000 - $119,999",Barack Obama,43,100000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1963,"$70,000 - $79,999",Barack Obama,53,70000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1961,"$120,000 - $149,999",Barack Obama,55,120000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1954,"$20,000 - $29,999",Mitt Romney,62,20000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1969,"$150,000 or more",Barack Obama,47,150000
In the Democratic primary,Bernie Sanders,NA,Massachusetts,Hillary Clinton,1984,"$30,000 - $39,999",Barack Obama,32,30000
In the Republican primary,NA,John Kasich,Pennsylvania,Donald Trump,1951,"$10,000 - $19,999",Mitt Romney,65,10000
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1970,"$50,000 - $59,999",Mitt Romney,46,50000
In the Republican primary,NA,Donald Trump,Mississippi,Donald Trump,1962,"$60,000 - $69,999",Mitt Romney,54,60000
In the Democratic primary,Bernie Sanders,NA,Alabama,Gary Johnson,1976,"$40,000 - $49,999",Other candidate,40,40000
In the Democratic primary,Bernie Sanders,NA,Michigan,Hillary Clinton,1959,Prefer not to say,Barack Obama,57,NA
"No, not in either",NA,NA,Florida,Donald Trump,1968,Prefer not to say,Mitt Romney,48,NA
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1980,"$150,000 or more",Other candidate,36,150000
In the Republican primary,NA,Donald Trump,Nevada,Donald Trump,1974,"$60,000 - $69,999",Mitt Romney,42,60000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1939,"$30,000 - $39,999",Barack Obama,77,30000
In the Republican primary,NA,Donald Trump,Washington,Donald Trump,1965,"$150,000 or more",Mitt Romney,51,150000
In the Democratic primary,Bernie Sanders,NA,Ohio,Donald Trump,1952,"$70,000 - $79,999",Mitt Romney,64,70000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1946,"$120,000 - $149,999",Barack Obama,70,120000
In the Republican primary,NA,Donald Trump,Georgia,Donald Trump,1949,"$50,000 - $59,999",Mitt Romney,67,50000
In the Democratic primary,Hillary Clinton,NA,Pennsylvania,Hillary Clinton,1968,"$80,000 - $99,999",Barack Obama,48,80000
In the Republican primary,NA,Donald Trump,Ohio,Donald Trump,1945,"$100,000 - $119,999",Mitt Romney,71,100000
In the Republican primary,NA,Ted Cruz,Arkansas,Donald Trump,1939,"$80,000 - $99,999",Mitt Romney,77,80000
In the Republican primary,NA,Ted Cruz,Maryland,Donald Trump,1972,"$40,000 - $49,999",Mitt Romney,44,40000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1940,"$40,000 - $49,999",Mitt Romney,76,40000
"No, not in either",NA,NA,Washington,Donald Trump,1941,"$50,000 - $59,999",Mitt Romney,75,50000
"No, not in either",NA,NA,Arkansas,NA,1985,"$30,000 - $39,999",Mitt Romney,31,30000
"No, not in either",NA,NA,Utah,Donald Trump,1951,"$30,000 - $39,999",Mitt Romney,65,30000
In the Republican primary,NA,Don't recall,Idaho,Hillary Clinton,1929,"$20,000 - $29,999",Barack Obama,87,20000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1950,"$30,000 - $39,999",Barack Obama,66,30000
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1962,"$120,000 - $149,999",Mitt Romney,54,120000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1966,"$120,000 - $149,999",Barack Obama,50,120000
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1957,"$70,000 - $79,999",Barack Obama,59,70000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1958,Prefer not to say,Barack Obama,58,NA
In the Democratic primary,Bernie Sanders,NA,Florida,Hillary Clinton,1954,"$60,000 - $69,999",Barack Obama,62,60000
In the Democratic primary,Bernie Sanders,NA,Vermont,Hillary Clinton,1952,"$40,000 - $49,999",Barack Obama,64,40000
In the Republican primary,NA,Ted Cruz,Nevada,Donald Trump,1945,"$80,000 - $99,999",Mitt Romney,71,80000
In the Republican primary,NA,John Kasich,Ohio,Donald Trump,1968,"$70,000 - $79,999",Mitt Romney,48,70000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1978,"$60,000 - $69,999",Barack Obama,38,60000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1933,"$20,000 - $29,999",Mitt Romney,83,20000
In the Republican primary,NA,Marco Rubio,Virginia,Donald Trump,1981,"$80,000 - $99,999",Mitt Romney,35,80000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1949,Prefer not to say,Barack Obama,67,NA
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1950,"$60,000 - $69,999",Barack Obama,66,60000
In the Democratic primary,Hillary Clinton,NA,Missouri,Hillary Clinton,1965,"$80,000 - $99,999",Barack Obama,51,80000
"No, not in either",NA,NA,Minnesota,Gary Johnson,1965,"$100,000 - $119,999",Mitt Romney,51,100000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1966,"$30,000 - $39,999",Barack Obama,50,30000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1955,"$80,000 - $99,999",Barack Obama,61,80000
"No, not in either",NA,NA,Pennsylvania,Hillary Clinton,1954,Prefer not to say,Other candidate,62,NA
In the Republican primary,NA,Donald Trump,Wisconsin,Donald Trump,1984,"$30,000 - $39,999",Mitt Romney,32,30000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1968,"$70,000 - $79,999",Mitt Romney,48,70000
In the Republican primary,NA,John Kasich,Mississippi,Donald Trump,1955,"$100,000 - $119,999",Mitt Romney,61,100000
In the Democratic primary,Bernie Sanders,NA,Michigan,Hillary Clinton,1948,"$60,000 - $69,999",Barack Obama,68,60000
"No, not in either",NA,NA,Texas,Hillary Clinton,1951,"$120,000 - $149,999",Barack Obama,65,120000
In the Democratic primary,Bernie Sanders,NA,Kentucky,Donald Trump,1949,"$20,000 - $29,999",Mitt Romney,67,20000
In the Democratic primary,Bernie Sanders,NA,Ohio,Hillary Clinton,1964,"$40,000 - $49,999",Barack Obama,52,40000
In the Democratic primary,Bernie Sanders,NA,Utah,Hillary Clinton,1958,"$80,000 - $99,999",Barack Obama,58,80000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1955,"$150,000 or more",Barack Obama,61,150000
"No, not in either",NA,NA,Alaska,Hillary Clinton,1990,"$10,000 - $19,999",NA,26,10000
"No, not in either",NA,NA,Illinois,Hillary Clinton,1960,"$100,000 - $119,999",Barack Obama,56,100000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1934,"$80,000 - $99,999",Barack Obama,82,80000
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1947,"$30,000 - $39,999",Barack Obama,69,30000
In the Democratic primary,Bernie Sanders,NA,South Carolina,Hillary Clinton,1948,"$20,000 - $29,999",Barack Obama,68,20000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1947,"$100,000 - $119,999",Other candidate,69,100000
In the Democratic primary,Bernie Sanders,NA,Kentucky,Donald Trump,1943,"$70,000 - $79,999",Mitt Romney,73,70000
"No, not in either",NA,NA,North Carolina,Hillary Clinton,1949,"$30,000 - $39,999",Barack Obama,67,30000
"No, not in either",NA,NA,Washington,NA,1938,"$10,000 - $19,999",Barack Obama,78,10000
In the Democratic primary,Bernie Sanders,NA,Maryland,Hillary Clinton,1958,"$30,000 - $39,999",Barack Obama,58,30000
"No, not in either",NA,NA,Florida,Donald Trump,1954,"$100,000 - $119,999",Mitt Romney,62,100000
In the Democratic primary,Hillary Clinton,NA,Georgia,Hillary Clinton,1951,"$70,000 - $79,999",Barack Obama,65,70000
In the Democratic primary,Bernie Sanders,NA,Texas,Hillary Clinton,1957,"$30,000 - $39,999",Barack Obama,59,30000
"No, not in either",NA,NA,North Carolina,Hillary Clinton,1962,"$150,000 or more",Barack Obama,54,150000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1947,"$50,000 - $59,999",Barack Obama,69,50000
"No, not in either",NA,NA,California,Hillary Clinton,1967,"$80,000 - $99,999",Barack Obama,49,80000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Jill Stein,1983,"Less than $10,000",Other candidate,33,0
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1960,"$40,000 - $49,999",Barack Obama,56,40000
"No, not in either",NA,NA,New Jersey,Hillary Clinton,1955,"$120,000 - $149,999",Barack Obama,61,120000
"No, not in either",NA,NA,Arkansas,Hillary Clinton,1946,"$100,000 - $119,999",Barack Obama,70,100000
In the Republican primary,NA,Donald Trump,Arizona,Hillary Clinton,1933,"$50,000 - $59,999",Barack Obama,83,50000
"No, not in either",NA,NA,Illinois,Donald Trump,1957,"$60,000 - $69,999",Mitt Romney,59,60000
"No, not in either",NA,NA,Kansas,Hillary Clinton,1944,"$70,000 - $79,999",Barack Obama,72,70000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1935,Prefer not to say,Barack Obama,81,NA
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1979,"$60,000 - $69,999",Barack Obama,37,60000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1960,"$10,000 - $19,999",Barack Obama,56,10000
