primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
In the Republican primary,NA,Donald Trump,Washington,Donald Trump,1950,"$100,000 - $119,999",Mitt Romney,66,100000
In the Republican primary,NA,Ted Cruz,Nevada,Donald Trump,1963,"$100,000 - $119,999",Mitt Romney,53,100000
In the Republican primary,NA,Someone else,Illinois,Donald Trump,1972,"$50,000 - $59,999",Mitt Romney,44,50000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1940,"$30,000 - $39,999",Barack Obama,76,30000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1958,Prefer not to say,Barack Obama,58,NA
In the Democratic primary,Don't recall,NA,Washington,Hillary Clinton,1954,"$150,000 or more",Barack Obama,62,150000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1961,"$120,000 - $149,999",Barack Obama,55,120000
In the Democratic primary,Hillary Clinton,NA,New Mexico,Hillary Clinton,1980,"$120,000 - $149,999",Barack Obama,36,120000
"No, not in either",NA,NA,Colorado,Hillary Clinton,1955,"$30,000 - $39,999",Barack Obama,61,30000
In the Republican primary,NA,John Kasich,New Hampshire,Donald Trump,1972,"$50,000 - $59,999",Other candidate,44,50000
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1970,Prefer not to say,Mitt Romney,46,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1950,"$150,000 or more",Barack Obama,66,150000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1934,"$150,000 or more",Barack Obama,82,150000
In the Republican primary,NA,Marco Rubio,Massachusetts,Hillary Clinton,1941,Prefer not to say,Mitt Romney,75,NA
"No, not in either",NA,NA,California,Hillary Clinton,1954,"$150,000 or more",Barack Obama,62,150000
In the Democratic primary,Bernie Sanders,NA,Arizona,Hillary Clinton,1962,Prefer not to say,Barack Obama,54,NA
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1952,"$120,000 - $149,999",Barack Obama,64,120000
In the Republican primary,NA,Someone else,California,Hillary Clinton,1952,"$150,000 or more",Barack Obama,64,150000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1961,"$150,000 or more",Barack Obama,55,150000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1974,"$50,000 - $59,999",Barack Obama,42,50000
In the Republican primary,NA,Donald Trump,New Jersey,Donald Trump,1955,"$50,000 - $59,999",Mitt Romney,61,50000
In the Republican primary,NA,Donald Trump,Washington,Donald Trump,1948,"$60,000 - $69,999",Mitt Romney,68,60000
"No, not in either",NA,NA,Florida,Hillary Clinton,1976,"$120,000 - $149,999",Barack Obama,40,120000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1944,"$150,000 or more",Barack Obama,72,150000
In the Democratic primary,Bernie Sanders,NA,Indiana,Hillary Clinton,1954,"$120,000 - $149,999",Barack Obama,62,120000
In the Democratic primary,Hillary Clinton,NA,New Hampshire,Hillary Clinton,1954,"$100,000 - $119,999",Barack Obama,62,100000
In the Republican primary,NA,Ted Cruz,Virginia,Donald Trump,1950,"$100,000 - $119,999",Mitt Romney,66,100000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1950,"$150,000 or more",Barack Obama,66,150000
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1941,"$20,000 - $29,999",Mitt Romney,75,20000
In the Democratic primary,Bernie Sanders,NA,Iowa,Hillary Clinton,1940,"$70,000 - $79,999",Barack Obama,76,70000
"No, not in either",NA,NA,Florida,Hillary Clinton,1963,"$100,000 - $119,999",Mitt Romney,53,100000
In the Democratic primary,Hillary Clinton,NA,North Carolina,Hillary Clinton,1961,"$150,000 or more",Barack Obama,55,150000
In the Republican primary,NA,Donald Trump,New York,Donald Trump,1967,"$70,000 - $79,999",Mitt Romney,49,70000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1957,"$60,000 - $69,999",Mitt Romney,59,60000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1980,"$40,000 - $49,999",Barack Obama,36,40000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1961,"$50,000 - $59,999",Barack Obama,55,50000
In the Republican primary,NA,Marco Rubio,Massachusetts,Other,1965,"$150,000 or more",Mitt Romney,51,150000
In the Democratic primary,Bernie Sanders,NA,Virginia,Hillary Clinton,1969,"$150,000 or more",Barack Obama,47,150000
In the Republican primary,NA,Someone else,Indiana,Donald Trump,1958,"$100,000 - $119,999",Other candidate,58,100000
In the Republican primary,NA,Ted Cruz,Indiana,Donald Trump,1957,"$30,000 - $39,999",Mitt Romney,59,30000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1936,"$70,000 - $79,999",Barack Obama,80,70000
"No, not in either",NA,NA,Maine,Donald Trump,1954,"$80,000 - $99,999",Barack Obama,62,80000
In the Republican primary,NA,Donald Trump,Nevada,Donald Trump,1954,"$100,000 - $119,999",Barack Obama,62,100000
"No, not in either",NA,NA,Arizona,Hillary Clinton,1969,"$150,000 or more",Barack Obama,47,150000
In the Democratic primary,Hillary Clinton,NA,Maryland,Hillary Clinton,1952,Prefer not to say,Barack Obama,64,NA
In the Democratic primary,Bernie Sanders,NA,Oregon,Hillary Clinton,1944,"$40,000 - $49,999",Barack Obama,72,40000
In the Democratic primary,Bernie Sanders,NA,Alabama,Jill Stein,1956,"$80,000 - $99,999",Barack Obama,60,80000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1953,"$70,000 - $79,999",Barack Obama,63,70000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1955,"$150,000 or more",Barack Obama,61,150000
"No, not in either",NA,NA,West Virginia,Hillary Clinton,1955,NA,Barack Obama,61,NA
In the Republican primary,NA,Ted Cruz,Massachusetts,Donald Trump,1928,"$30,000 - $39,999",Mitt Romney,88,30000
"No, not in either",NA,NA,Minnesota,Evan McMullin,1986,"$10,000 - $19,999",Mitt Romney,30,10000
"No, not in either",NA,NA,Arizona,Donald Trump,1950,"$100,000 - $119,999",Mitt Romney,66,100000
In the Democratic primary,Hillary Clinton,NA,Delaware,Hillary Clinton,1952,"$150,000 or more",Barack Obama,64,150000
In the Democratic primary,Bernie Sanders,NA,Florida,NA,1959,"$30,000 - $39,999",Barack Obama,57,30000
In the Democratic primary,Bernie Sanders,NA,Utah,Hillary Clinton,1957,Prefer not to say,Barack Obama,59,NA
In the Republican primary,NA,Ted Cruz,Maryland,Donald Trump,1953,"$100,000 - $119,999",Mitt Romney,63,100000
In the Democratic primary,Bernie Sanders,NA,Arizona,Hillary Clinton,1970,"$150,000 or more",Barack Obama,46,150000
In the Democratic primary,Bernie Sanders,NA,Wisconsin,Hillary Clinton,1963,"$50,000 - $59,999",Barack Obama,53,50000
In the Democratic primary,Hillary Clinton,NA,Mississippi,Hillary Clinton,1946,"$60,000 - $69,999",Barack Obama,70,60000
In the Democratic primary,Bernie Sanders,NA,Florida,Hillary Clinton,1956,"$10,000 - $19,999",Barack Obama,60,10000
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1965,Prefer not to say,Mitt Romney,51,NA
"No, not in either",NA,NA,New Jersey,Donald Trump,1980,"$50,000 - $59,999",Mitt Romney,36,50000
In the Republican primary,NA,Donald Trump,Tennessee,Donald Trump,1954,Prefer not to say,Mitt Romney,62,NA
In the Republican primary,NA,Marco Rubio,Georgia,Gary Johnson,1985,"$60,000 - $69,999",Mitt Romney,31,60000
In the Republican primary,NA,John Kasich,Wisconsin,Other,1983,"$30,000 - $39,999",Mitt Romney,33,30000
In the Democratic primary,Hillary Clinton,NA,Connecticut,Hillary Clinton,1972,Prefer not to say,Barack Obama,44,NA
"No, not in either",NA,NA,Utah,Gary Johnson,1959,"$80,000 - $99,999",Mitt Romney,57,80000
